Q,A
抽样定理,奈奎斯特采样定理：频谱不发生交叠的最低采样率是信号最高频率的2倍。对于实带通信号，按最高频率的2倍固然可以频谱无交叠，但最小采样率可以更小。带通信号确定最小采样率的方法：将最高频率整除到正好比带宽大，此值的2倍就是最小采样率
常用的数字键控方式用哪些？,ASK（幅度键控）：用基带数字信号对高频载波信号的幅度进行控制的方式。FSK（移频键控）：用基带数字信号对载波信号的频率进行控制的方式。2PSK（绝对移相键控）：用基带数字信号对载波的相位进行控制方式。2DPSK（相对移相键控）：2DPSK信号的产生方法和绝对移相一样，只需将输入码序列先变换为相对码序列，然后用此相对码去进行绝对移相，便可以获得 2DPSK信号。
数字通信系统模型，简述其中各部分与有效性和可靠性两项指标的关系？,信源编码、解码考虑传输效率。加密、解密根据方法不同可能会带来有效性下降。信道编码、解码考虑适应信道，提高可靠性为主要目的，有效性将下降。调制、解调考虑适应信道，可靠性和有效性相矛盾，占用频带小的调制其可靠性将降低。信道传输特性的不理想和噪声的干扰是影响可靠性的主要因素。
对于抑制载波的双边带信号，试简述采用插入导频法和直接法实现载波同步各有何优缺点？,插入导频法：插入导频法需要在发送端加导频插入电路，在接收段需加导频提取电路。直接法：是从接收到的已调信号中提取载波，由于DSB信号其功率谱中不含有载波分量，必须加一非线性电路，然后再提取。相比较而言，直接法无需在发送端增加任何电路，因此直接法较插入导频法容易实现且对信号传输的影响要小。
试对AM和DSB可否采用包络检波方式进行解调进行讨论？,AM已调信号波形的包络即为调制信号，采用包络检波的方式获得AM的包络线即恢复出原始信号。DSB已调信号波形的包络与调制信号的波形不一样，因此采用包络检波的方式所获得的DSB包络线不是已调信号波形，无法恢复出原始信号。
解释最佳基带传输系统的含义？在理想信道下的最佳基带传输系统的结构具有什么特点？,最佳基带传输系统的含义是消除码间干扰且抗噪声性能最理想的系统，在理想信道符合恒参信道且传输特性不会带来频率失真，因此不用考虑码间干扰，此时基带传输系统的结构为接收滤波器的特性与信号特性共轭匹配。
在设计数字通信接收机输入端带通滤波器的频率特性时，应考虑哪些因素？（至少给出两个因素并说明它们与频率特性的关系）,数字通信接收机输入端带通滤波器的带宽应尽量小，以尽可能多地滤除信道噪声，提高带通滤波器输出信噪比，减小误码率。另外整个通信系统的频率特性应满足无码间串扰的要求，而通信系统的频率特性与接收机输入端带通滤波器的频率特性有关，所以设计此带通滤波器时应满足无码间串扰的条件下，尽量减小滤波器的带宽。
如何由白噪声得到窄带白噪声，窄带白噪声的功率与其同相分量的功率及正交分量的功率有何关系？,将白噪声通过窄带带通滤波器，就可以得到窄带白噪声，窄带白噪声的功率与其同相分量的功率以及正交分量的功率是相同的。定性说明误码率与码间串扰、信噪比、位同步信号相位抖动大小及码速率之间的关系。码间串扰越大，误码率越大。信噪比越大，误码率越大。位同步信号相位抖动越大，误码率越大。码速率越大，误码率越大。
为什么PCM编码要用对数量化？A律和u律PCM量化特性为什么要用折线代替对数特性？,对数量化可达到“小信号量阶小，大信号量阶大”的要求，改善小信号时的量化信噪比，扩大对输入信号的允许动态范围。用折线代替对数特性是为了能用数字电路来实现。
数字信号的最佳接收准则是什么？其物理含义是什么？,使接收的误码率最小，在接收判决时的信噪比最大。
窄带高斯白噪声中的“窄带”、“高斯”、“白”的含义各是什么？,窄带的含义是：频带宽度B远小于中心频率fc，中心频率fc远离零频。高斯的含义是噪声的瞬时值服从正态分布。白的含义是噪声的功率谱密度在通带范围B内是平坦的为一常数。
什么是门限效应？AM包络检波法为什么会产生门限效应？,小信噪比时，解调输出信号无法与噪声分开，有用信号“淹没”在噪声之中，这时候输出信噪比不是按比例地随输入信噪比下降，而是急剧恶化，这种现象称为门限效应。由于包络检波法的非线性作用，所以AM信号会产生门限效应。
如何评价模拟通信系统和数字通信系统的有效性和可靠性？,①有效性：指传输一定信息量时所占用的信道资源（频带宽度和时间间隔），或者说是传输的“速度”问题。②可靠性：指接收信息的准确程度，也就是传输的“质量”问题。③对于模拟通信系统：有效性用带宽来衡量，可靠性用信噪比来衡量。④对于数字通信系统：有效性用传输速率或频带利用率来衡量，可靠性用误码率来衡量。模拟通信系统：已调信号带宽越小，有效性越好，解调器输出信噪比越高，可靠性越好。数字通信系统：频带利用率越高，有效性越好，误码率越小，可靠性越高。
列举三种常见的复用方式，并进行比较。,①频分复用（FDM）：利用不同频段传送不同信号。（同时不同频）②时分复用（TDM）：利用不同时隙传送不同信号。（同频不同时）③码分复用（CDM）：利用不同正交码传送不同信号。（同频同时）
电话信道特性不理想时，会产生哪种影响？如何去解决？,电话信道属于恒参信道，如果信道特性不理想的话，会导致信号发生幅度畸变，相位畸变，从而导致码间干扰。解决方法：采用均衡技术。
为什么绝大多数无线信道对信号的影响要比有线信道大？在无线通信系统中，主要采用什么技术解决这种影响？,①大多数无线信道都属于随参信道，随参信道的特点：信道参数随时间变化，损耗时变，时延时变，多径传播。②随参信道对信号的影响：瑞利型衰落，多径传播引起的频率弥散，频率选择性衰落。③在无线通信系统中多采用分集技术。
恒参和随参信道知识点总结（从乘性干扰角度，信道分为恒参信道和随参信道）,①恒参信道：a.常见类型：明线，对称电缆，同轴电缆，光纤信道，无线电视中继，卫星中继。b.恒参信道对信号的影响：幅频畸变，相频畸变。c 信道不理想时会导致：码间干扰。d.解决方案：均衡。②随参信道：a.常见类型：电离层信道，对流层信道，移动通信。b.随参信道的特点：信道参数随时间变化，损耗时变，时延时变，多径传播。c.随参信道对信号的影响：瑞利型衰落，多径传播引起的频率弥散，频率选择性衰落d.解决方案：分集。
